2025-01-07 22:34:47,438 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:47,439 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:47,441 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:47,443 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:47,453 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:47,455 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:47,457 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:47,459 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:47,465 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:47,467 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:47,469 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:47,471 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:47,477 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:47,479 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:47,481 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:47,483 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:47,793 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:47,946 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:50,204 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:50,206 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:50,208 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:50,229 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:50,231 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:50,233 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:50,235 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:50,241 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:50,243 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:50,245 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:50,247 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:50,266 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:50,267 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:50,269 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:50,271 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:50,277 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:50,279 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:50,281 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:50,283 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:50,297 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:50,299 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:50,301 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:50,303 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:50,585 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:50,661 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:52,915 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:52,916 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:52,918 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:52,945 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:52,946 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:52,948 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:52,949 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:52,965 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:52,966 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:52,970 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:52,971 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:53,005 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:53,006 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:53,007 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:53,009 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:53,025 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:53,027 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:53,028 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:53,030 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:53,045 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:53,047 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:53,048 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:53,050 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:53,558 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:53,658 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:55,914 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:55,915 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:55,916 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:55,933 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:55,934 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:55,936 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:55,937 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:55,969 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:55,970 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:55,971 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:55,972 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:55,989 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:55,990 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:55,991 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:55,992 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:56,005 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:56,006 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:56,007 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:56,008 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:56,017 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:56,018 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:56,019 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:56,020 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:56,309 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:56,393 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:58,646 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:58,647 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:58,648 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:58,661 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:58,662 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:58,663 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:58,664 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:58,677 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:58,678 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:58,679 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:58,680 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:58,693 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:58,694 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:58,695 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:58,696 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:58,709 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:58,710 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:58,711 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:58,712 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:58,725 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:58,726 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:58,728 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:58,729 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:59,029 [INFO] main           :169       Received message: ['tag_1', '123.1']
2025-01-07 22:34:59,031 [ERROR] main           :184       Tag not written: 'int' object has no attribute 'strip'
2025-01-07 22:34:59,122 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:35:01,371 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:35:01,373 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:35:01,376 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:35:01,397 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:35:01,399 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:35:01,401 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:35:01,403 [INFO] main           :69        Reading tag: tag_2
